"POSTCODE","Employee_earners","Employee_median_age","Total_income_m","Median_income","Mean_income","Main_income_pct"
800,21967,34.4,1597.16,58538.4,72661.8,87.64
810,33563.2,37.8,2293.56,61056.6,68354.4,85.6
812,33563.2,37.8,2293.56,61056.6,68354.4,85.6
820,11238.32533538,17.27471466,813.88332036,29324.53719318,36236.24531574,43.775171204
822,1048.716255056,7.9870088,62.7666971012,9076.614960108,11309.958554468,17.8649225632
828,33563.2,37.8,2293.56,61056.6,68354.4,85.6
829,6513.16140014,20.22364977,461.106037423,31962.02225481,35353.60419036,42.249097388
830,11268.34553036,17.70052398,812.722059347,33071.10838399,36060.39167914,46.099090782
832,11221.2440339,17.72555145,809.239168855,33060.16777185,36053.4418086,46.06101038
835,12361.6,40.8,873.06,63769,70608.4,83.96
836,12361.6,40.8,873.06,63769,70608.4,83.96
837,12361.6,40.8,873.06,63769,70608.4,83.96
838,12361.6,40.8,873.06,63769,70608.4,83.96
840,3796.48538,40.36263404,185.588190576,37967.25158024,48906.52448018,87.878645796
841,12361.6,40.8,873.06,63769,70608.4,83.96
845,3800,40.4,185.76,38002.4,48951.8,87.96
846,3800,40.4,185.76,38002.4,48951.8,87.96
847,3800,40.4,185.76,38002.4,48951.8,87.96
850,8227,36.2,428.96,46209.6,52156.4,90.6
852,2017.438584235,9.05218751,105.2011774545,11548.42423561,13032.74811921,22.6517772065
853,8227,36.2,428.96,46209.6,52156.4,90.6
854,8227,36.2,428.96,46209.6,52156.4,90.6
860,2155.6,37.4,113.38,46942.8,52554,93.34
862,1342.10655977,18.64776034,70.428159919,23439.48156774,26259.69125932,46.550719443
870,21720,37.2,1236.38,51083,56924.6,91.06
872,5713.92887308,11.4644957933333,327.807075448,15568.3982200333,17513.3132929933,27.678686088
880,4059.6,39,260.68,49986.6,64251.8,94.46
885,4059.6,39,260.68,49986.6,64251.8,94.46
886,3800,40.4,185.76,38002.4,48951.8,87.96
909,33563.2,37.8,2293.56,61056.6,68354.4,85.6
2000,167659.8,31.4,11868.28,50422.4,70811.2,83.42
2006,167659.8,31.4,11868.28,50422.4,70811.2,83.42
2007,167659.8,31.4,11868.28,50422.4,70811.2,83.42
2008,167659.8,31.4,11868.28,50422.4,70811.2,83.42
2009,167659.8,31.4,11868.28,50422.4,70811.2,83.42
2010,167659.8,31.4,11868.28,50422.4,70811.2,83.42
2011,167659.8,31.4,11868.28,50422.4,70811.2,83.42
2015,167659.8,31.4,11868.28,50422.4,70811.2,83.42
2016,167659.8,31.4,11868.28,50422.4,70811.2,83.42
2017,167659.8,31.4,11868.28,50422.4,70811.2,83.42
2018,40596.45405939,16.77067887,2795.879462254,26252.40371052,32771.1001687,41.867452775
2019,30369.6,34.8,1902.56,53728.8,62445.2,83.92
2020,30369.6,34.8,1902.56,53728.8,62445.2,83.92
2021,82803.4,35,8411.22,61798.8,101554,68.5
2022,82803.4,35,8411.22,61798.8,101554,68.5
2023,82803.4,35,8411.22,61798.8,101554,68.5
2024,82803.4,35,8411.22,61798.8,101554,68.5
2025,82803.4,35,8411.22,61798.8,101554,68.5
2026,82803.4,35,8411.22,61798.8,101554,68.5
2027,82803.4,35,8411.22,61798.8,101554,68.5
2028,82803.4,35,8411.22,61798.8,101554,68.5
2029,82803.4,35,8411.22,61798.8,101554,68.5
2030,82803.4,35,8411.22,61798.8,101554,68.5
2031,81428.6,36,6469.46,59914.8,79430,77.04
2032,38783.4783855,17.9546214,3062.03039305,29723.473317,39072.7112956,38.78017064
2033,40779.61582244,17.99651573,3238.819336209,29950.20998162,39708.47168994,38.524832531
2034,81428.6,36,6469.46,59914.8,79430,77.04
2035,37920.26727265,17.93433402,2984.821696615,29618.8918731,38785.56371908,38.896484952
