"POSTCODE","land_area_ha","agricultural_land_area_ha","irrigated_agricultural_land_area_ha","water_volume_irrigated_land_ML","water_application_rate_irrigated_land_ML_ha","indigenous_protected_land_areas_count","national_parks_count","nature_reserves_count","other_protected_land_areas_count","total_protected_land_areas_count","indigenous_protected_land_area_ha","national_parks_ha","nature_reserves_ha","other_protected_land_area_ha","total_protected_land_area_ha","indigenous_protected_land_area_percent","national_parks_percent","nature_reserves_percent","other_protected_land_area_percent","total_protected_land_area_percent"
2469,523391.4419988,149627.4021783,5638.55050986,6609.27354936,1.0573492425,1.0191318,10.191318,21.9113337,35.669613,68.7913965,1539.3985839,41117.3820369,10918.72332225,23774.05184745,77349.683181975,0.15286977,4.0128314625,1.07008839,2.3057856975,7.516097025
2470,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2471,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2472,1027131.3837208,293636.8238178,11065.39336076,12970.39221776,2.074998755,1.9999988,19.999988,42.9999742,69.999958,134.999919,3020.9981874,80690.9515854,21427.4871435,46655.4720067,151795.15892285,0.29999982,7.874995275,2.09999874,4.524997285,14.74999115
2473,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2474,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2475,79423.8036056,22705.7159346,855.64090732,1002.94655632,0.160451035,0.1546516,1.546516,3.3250094,5.412806,10.438983,233.6012418,6239.4961278,1656.8985795,3607.6738619,11737.68914245,0.02319774,0.608940675,0.16238418,0.349899245,1.14055555
2476,678296.8138808,193911.8258778,7307.36221276,8565.38496976,1.370287255,1.3207588,13.207588,28.3963142,46.226558,89.151219,1995.0061674,53286.6741654,14150.2795935,30810.3310967,100242.45611785,0.19811382,5.200487775,1.38679674,2.988216785,9.74059615
2477,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2478,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2479,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2480,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2481,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2482,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2483,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2484,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2485,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2486,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2487,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2488,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2489,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2490,1027132,293637,11065.4,12970.4,2.075,2,20,43,70,135,3021,80691,21427.5,46655.5,151795.25,0.3,7.875,2.1,4.525,14.75
2588,5698498.1,4374046.2,179764.6,969886.8,5.38,1,18,24,39.5,82,21973,481577.25,72734.5,22686.5,587984.75,0.4,8.425,1.3,0.4,10.3
2590,5698498.1,4374046.2,179764.6,969886.8,5.38,1,18,24,39.5,82,21973,481577.25,72734.5,22686.5,587984.75,0.4,8.425,1.3,0.4,10.3
2594,12382.8363713,9504.8023926,390.6284758,2107.5640164,0.01169074,0.002173,0.039114,0.052152,0.0858335,0.178186,47.747329,1046.46736425,158.0520685,49.2977645,1277.69086175,0.0008692,0.018307525,0.0028249,0.0008692,0.0223819
2611,8180.76387236,6279.38072472,258.07005976,1392.36949008,0.007723528,0.0014356,0.0258408,0.0344544,0.0567062,0.1177192,31.5444388,691.3523001,104.4176482,32.5687394,844.1109071,0.00057424,0.01209493,0.00186628,0.00057424,0.01478668
2624,5698498.1,4374046.2,179764.6,969886.8,5.38,1,18,24,39.5,82,21973,481577.25,72734.5,22686.5,587984.75,0.4,8.425,1.3,0.4,10.3
2629,538926.34021054,413668.42089108,17000.94942164,91725.49229112,0.508804892,0.0945734,1.7023212,2.2697616,3.7356493,7.7550188,2078.0613182,45544.39789515,6878.7489623,2145.5394391,55607.71695565,0.03782936,0.796780895,0.12294542,0.03782936,0.97410602
2640,4477.30995717,3436.68809934,141.24104622,762.04005876,0.004227066,0.0007857,0.0141426,0.0188568,0.03103515,0.0644274,17.2641861,378.375245325,57.14749665,17.82478305,461.979618075,0.00031428,0.0066195225,0.00102141,0.00031428,0.00809271
2642,1286959.06820058,987842.46709116,40598.36084028,219040.98070824,1.215028884,0.2258418,4.0651524,5.4202032,8.9207511,18.5190276,4962.4218714,108760.27297905,16426.4904021,5123.5599957,132791.53431255,0.09033672,1.902717165,0.29359434,0.09033672,2.32617054
2644,10382.6635382,7969.5121764,327.5311012,1767.1337496,0.00980236,0.001822,0.032796,0.043728,0.071969,0.149404,40.034806,877.4337495,132.522259,41.334803,1071.3082145,0.0007288,0.01535035,0.0023686,0.0007288,0.0187666
2645,221428.82007094,169964.06281188,6985.18496804,37687.27934232,0.209052812,0.0388574,0.6994332,0.9325776,1.5348673,3.1863068,853.8136502,18712.83983415,2826.2735603,881.5384051,22847.55862465,0.01554296,0.327373595,0.05051462,0.01554296,0.40023122
2649,5698498.1,4374046.2,179764.6,969886.8,5.38,1,18,24,39.5,82,21973,481577.25,72734.5,22686.5,587984.75,0.4,8.425,1.3,0.4,10.3
2650,5685240.54417035,4363869.9815157,179346.3776581,967630.3583598,5.36748343,0.9976735,17.958123,23.944164,39.40810325,81.809227,21921.8798155,480456.860527875,72565.28318575,22633.71985775,586616.803479125,0.3990694,8.4053992375,1.29697555,0.3990694,10.27603705
2651,5698498.1,4374046.2,179764.6,969886.8,5.38,1,18,24,39.5,82,21973,481577.25,72734.5,22686.5,587984.75,0.4,8.425,1.3,0.4,10.3
2652,5698498.1,4374046.2,179764.6,969886.8,5.38,1,18,24,39.5,82,21973,481577.25,72734.5,22686.5,587984.75,0.4,8.425,1.3,0.4,10.3
2653,5698498.1,4374046.2,179764.6,969886.8,5.38,1,18,24,39.5,82,21973,481577.25,72734.5,22686.5,587984.75,0.4,8.425,1.3,0.4,10.3
2655,5698498.1,4374046.2,179764.6,969886.8,5.38,1,18,24,39.5,82,21973,481577.25,72734.5,22686.5,587984.75,0.4,8.425,1.3,0.4,10.3
2656,5698498.1,4374046.2,179764.6,969886.8,5.38,1,18,24,39.5,82,21973,481577.25,72734.5,22686.5,587984.75,0.4,8.425,1.3,0.4,10.3
2658,995889.47269935,764423.6230737,31416.2906721,169500.8117718,0.94022763,0.1747635,3.145743,4.194324,6.90315825,14.330607,3840.0783855,84162.125730375,12711.33579075,3964.77214275,102758.272856625,0.0699054,1.4723824875,0.22719255,0.0699054,1.80006405
2661,5698498.1,4374046.2,179764.6,969886.8,5.38,1,18,24,39.5,82,21973,481577.25,72734.5,22686.5,587984.75,0.4,8.425,1.3,0.4,10.3
2663,5698498.1,4374046.2,179764.6,969886.8,5.38,1,18,24,39.5,82,21973,481577.25,72734.5,22686.5,587984.75,0.4,8.425,1.3,0.4,10.3
