Label,Year,Indigenous protected land area (ha),National parks (ha),Nature reserves (ha),All other protected land areas (ha),Total protected land area (ha),Indigenous protected land area (%),National parks (%),Nature reserves (%),All other protected land areas (%),Total protected land area (%)
Albury,2016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Albury,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Albury,2018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Albury,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Albury,2020,0,0,0,107,107,0.0,0.0,0.0,0.3,0.3
Albury,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Albury,2022,0,0,0,107,107,0.0,0.0,0.0,0.3,0.3
Albury,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Armidale Regional,2016,"1,559","32,740","6,385","106,389","147,073",0.2,4.2,0.8,13.6,18.8
Armidale Regional,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Armidale Regional,2018,"1,559","32,737","6,385","106,374","147,056",0.2,4.2,0.8,13.6,18.8
Armidale Regional,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Armidale Regional,2020,"1,559","35,323","6,385","109,666","152,934",0.2,4.5,0.8,14.0,19.6
Armidale Regional,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Armidale Regional,2022,"1,559","36,978","6,387","110,675","155,598",0.2,4.7,0.8,14.2,19.9
Armidale Regional,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ballina,2016,861,0,"1,311",0,"2,172",1.8,0.0,2.7,0.0,4.5
Ballina,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ballina,2018,861,0,"1,313",0,"2,174",1.8,0.0,2.7,0.0,4.5
Ballina,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ballina,2020,861,0,"1,313",430,"2,605",1.8,0.0,2.7,0.9,5.4
Ballina,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ballina,2022,861,0,"1,313",452,"2,626",1.8,0.0,2.7,0.9,5.4
Ballina,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Balranald,2016,0,"63,570",0,"31,513","95,083",0.0,2.9,0.0,1.5,4.4
Balranald,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Balranald,2018,0,"63,572",0,"31,520","95,092",0.0,2.9,0.0,1.5,4.4
Balranald,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Balranald,2020,0,"63,571",0,"31,587","95,159",0.0,2.9,0.0,1.5,4.4
Balranald,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
