claim_id,claim_paid,total_claim_amount,claim_start_date,claim_status,tenure,exposure_id,condition_Other,condition_GastrointestinalIssues,condition_AllergiesAndskin,condition_EyesAndears,condition_Injuries,condition_RoutineCareandExaminations,condition_Illness,condition_Ingestion,condition_Dental,condition_Ortho,condition_BehavioralIssues,claimNb,pet_gender,pet_de_sexed,pet_de_sexed_age,pet_is_switcher,nb_policy_first_inception_date,pet_age_months,nb_contribution,nb_excess,nb_address_type_adj,nb_suburb,nb_postcode,nb_state,person_dob,nb_contribution_excess,pet_age_years,owner_age_years,nb_number_of_breeds,nb_average_breed_size,nb_breed_type,nb_breed_trait,nb_breed_name_unique,nb_breed_name_unique_concat,is_multi_pet_plan,lead_date_day,quote_date,quote_time_group,max_tenure,total_earned_units,UW_Date,breed
claim_0001aa78-84d8-4305-ba66-acef6043d1b6,1041.754545,1157.509091,15/01/2024,covered_paid,2,exposure_10c44027-85b1-40b0-98c1-ce8ed7f4b7c3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,female,TRUE,7-12 mo,unknown,5/11/2023 17:00,10,90,0,House,Birchgrove,2041,NSW,20/12/1993,900,7-12 months,29,1,2,unnamed cross,unknown,australian cattle dog cross,australian cattle dog cross,FALSE,0,6/11/2023 10:49,Morning (05:00 - 11:59),9,8,1/01/2024,australian cattle dog cross
claim_0027d45c-b395-438b-9954-c5667d782bb1,137.7090909,172.1454545,8/08/2024,covered_paid,7,exposure_360e2a98-7eea-4163-b7f4-acab694799fd,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,male,FALSE,Not desexed,unknown,3/01/2024 17:00,4,80,0,Apartment,Brunswick West,3055,VIC,4/12/1976,800,0-6 months,47,1,2,purebred,brachycephalic,french bulldog,french bulldog,FALSE,0,4/01/2024 8:04,Morning (05:00 - 11:59),7,8,1/01/2024,french bulldog
claim_0045ff2b-0347-4a0f-9b89-1d767d194c56,51.59090909,142.5,3/07/2024,covered_paid,5,exposure_815cb246-ae6d-455e-8894-4b7d45568bf6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,female,FALSE,Not desexed,unknown,23/02/2024 17:00,10,100,100,Apartment,Campbelltown,2560,NSW,16/05/1983,100100,7-12 months,40,1,2,purebred,brachycephalic,french bulldog,french bulldog,FALSE,0,24/02/2024 21:15,Evening (18:00 - 23:59),6,6.206896552,1/02/2024,french bulldog
claim_00467c7b-d8cb-4ac4-bb09-0a99a4c1cbbc,720.6181818,900.7727273,27/07/2024,covered_paid,6,exposure_cf9f55dc-c8d1-4b65-b999-7585b8ee0836,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,female,FALSE,Not desexed,unknown,5/01/2024 17:00,3,80,0,House,Happy Valley,5159,SA,19/03/1971,800,0-6 months,52,1,1,cross,unknown,maltipoo,maltipoo,FALSE,0,6/01/2024 13:20,Afternoon (12:00 - 17:59),7,7.838709677,1/01/2024,Other
claim_0048cdc1-0a9c-44ec-8848-db263114942e,336.9090909,421.1363636,21/07/2024,covered_paid,4,exposure_65b3eedd-cc43-4d2d-acf6-623587625954,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,male,FALSE,Not desexed,unknown,19/03/2024 17:00,25,80,100,House,Rowville,3178,VIC,21/06/1966,80100,2 years,57,1,3,purebred,retriever,labrador retriever,labrador retriever,FALSE,0,20/03/2024 11:07,Morning (05:00 - 11:59),5,5.387096774,1/03/2024,labrador retriever
claim_004d7417-efae-4857-8b73-b456fd83db1e,36.70909091,136.8,15/05/2024,covered_paid,4,exposure_c9a2a12e-a91b-4b59-907a-343f4e9f026a,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,male,FALSE,Not desexed,unknown,7/01/2024 17:00,3,80,100,House,Champion Lakes,6111,WA,17/10/1981,80100,0-6 months,42,1,3,purebred,mastiff,boxer,boxer,FALSE,0,2/01/2024 19:19,Evening (18:00 - 23:59),7,7.774193548,1/01/2024,Other
claim_007496ab-e5a4-47b9-ba61-ce7edb401285,17.70909091,113.0545455,22/08/2024,covered_paid,8,exposure_587fe598-becc-4eae-9e16-453c093cdd80,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,male,FALSE,Not desexed,unknown,9/12/2023 17:00,3,80,100,House,Reynella,5161,SA,2/12/1991,80100,0-6 months,32,1,3,purebred,pointer,german pointershort haired,german pointershort haired,FALSE,0,10/12/2023 9:16,Morning (05:00 - 11:59),8,8,1/01/2024,Other
claim_0089d13b-7dd1-4803-ac0e-4cf65cd39478,87.27272727,200,12/06/2024,covered_paid,4,exposure_f96ba9e6-762d-4b4e-ac32-c7782eb5c848,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,male,FALSE,Not desexed,unknown,1/02/2024 17:00,5,80,100,House,Eden Hill,6054,WA,6/10/1998,80100,0-6 months,25,1,2,purebred,spaniel,cocker spaniel,cocker spaniel,FALSE,0,2/02/2024 11:25,Morning (05:00 - 11:59),6,7,1/02/2024,cocker spaniel
claim_00f18d4e-5899-4eff-ad38-9fb4eb4d0285,155.9454545,173.2727273,14/06/2024,covered_paid,1,exposure_2daa1b58-d747-4d14-80d5-f19be8d479d6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,female,FALSE,Not desexed,FALSE,19/05/2024 17:00,3,90,100,House,Brunswick West,3055,VIC,5/12/1994,90100,0-6 months,29,1,2,purebred,spaniel,english cocker spaniel,english cocker spaniel,FALSE,0,20/05/2024 21:04,Evening (18:00 - 23:59),3,3.387096774,1/05/2024,english cocker spaniel
claim_010d01bb-f078-47d7-82d4-c2c3acb98a53,193.0909091,305.4545455,16/06/2024,covered_paid,4,exposure_905fd801-5869-46fc-927d-7a68e84c92aa,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,male,FALSE,Not desexed,unknown,27/02/2024 17:00,44,90,100,House,Carlingford,2118,NSW,6/05/1966,90100,3 years,57,1,1,purebred,white fluffy,havanese,havanese,FALSE,0,2/02/2024 16:08,Afternoon (12:00 - 17:59),6,6.068965517,1/02/2024,Other
claim_01156280-f05d-4e89-a2e6-2d2d24c117fd,71.92727273,170.8363636,12/08/2024,covered_paid,2,exposure_eaf52305-1724-4bb9-b1cb-f9e733bc1fdb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,male,TRUE,4-6 mo,TRUE,10/06/2024 17:00,15,90,100,House,Palmyra,6157,WA,10/02/1989,90100,1 years,35,3,1.333333333,cross,cross,cross,"australian cattle dog cross, jack russell terrier cross, chihuahua cross",TRUE,0,11/06/2024 13:25,Afternoon (12:00 - 17:59),2,2.666666667,1/06/2024,cross
claim_011596b5-6a5b-453f-8e6d-28df2ae5e856,131.5727273,255.3818182,6/01/2024,covered_paid,2,exposure_e726f411-cfb7-4fe8-9024-96487a8e4452,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,female,FALSE,Not desexed,unknown,22/11/2023 17:00,64,80,100,House,Abbotsford,3067,VIC,17/03/1976,80100,5 years,47,1,2,purebred,collie related,australian shepherd,australian shepherd,FALSE,0,23/11/2023 5:48,Morning (05:00 - 11:59),9,8,1/01/2024,australian shepherd
